phase,plugin,start_ms,duration_ms
import,indexer,0.495,401.265
import,mappings,401.799,13.511
import,constants,415.338,0.068
import,price,415.422,12.653
import,blocks,428.102,128.374
import,inputs,556.574,464.572
import,pools,556.570,483.901
import,outputs,556.565,488.392
import,mining,556.567,495.555
import,op_return,1052.266,301.929
import,transactions,556.577,1058.853
import,investing,1615.709,2.875
import,market,1615.707,130.857
import,distribution,1615.694,1304.322
import,capital_sentiment,2920.145,71.929
import,indicators,2920.123,81.603
import,bedrock,2920.146,135.120
import,coinflow,2920.148,682.122
import,cointime,2920.132,689.600
import,supply,3609.877,20.759
import,rarity_meter,3609.898,499.114
