timestamp_ms,read_bytes,written_bytes
0,24686592,1568768
5005,32329728,15104942080
10003,32329728,15104942080
15009,32329728,15104942080
20010,183545856,15104942080
25010,183545856,15104942080
30010,720318464,15104942080
35010,1257132032,15104942080
40010,2195800064,15104942080
45010,3135176704,16193359872
50010,4342075392,16193359872
55010,5817339904,16193359872
60009,7023890432,17135378432
65009,8499572736,17135378432
70004,9661100032,18550218752
75004,11004780544,18852958208
80010,12084486144,19638259712
85009,13298147328,19837468672
90010,14644715520,19837468672
95009,16023732224,22045503488
100010,17454665728,22135021568
105004,18576510976,23179685888
110009,20234518528,23179685888
115010,21465808896,24138915840
120010,22959853568,25017217024
125010,24721743872,25018191872
130006,25806307328,26054033408
135012,27570524160,26054987776
140003,29221789696,28788330496
145009,31254069248,29490556928
150009,32712695808,30590775296
155010,34443317248,30590775296
160007,35822419968,32825606144
165005,37753856000,33869840384
170005,39396929536,35193851904
175005,41126625280,35193851904
180005,42606923776,36680138752
185003,44733014016,38743441408
190005,46605148160,40226742272
195005,49023729664,40494071808
200005,50409406464,41520537600
205004,52496171008,42044018688
210000,54419419136,43482226688
215005,56801943552,44696457216
220005,58477993984,45109608448
225001,60113297408,47225479168
230004,62654525440,48039215104
235005,64358416384,49708589056
240004,66232705024,50591043584
245005,68162486272,52018806784
250005,70241112064,53186080768
255005,72864030720,53550350336
260005,74601762816,55656751104
265005,76572725248,56395743232
270000,78412189696,58401370112
275005,80760246272,59499438080
280005,82594406400,60097093632
285005,84649119744,61517955072
290004,86709071872,61785116672
295005,88414171136,63763578880
300001,90437529600,64096464896
305005,92285427712,65270702080
310004,94657003520,65334337536
315001,96501940224,66480373760
320003,98639265792,68618649600
325005,100946100224,69586288640
330002,102628724736,70769315840
335001,105024114688,70769315840
340005,107150385152,71975223296
345004,109197058048,73191567360
346065,109520683008,73394565120
