timestamp_ms,height
16973.135,0
16977.619,100
16983.273,200
16987.192,300
16991.543,400
16995.744,500
16999.908,600
17003.313,700
17007.521,800
17011.073,900
17015.471,1000
17019.646,1100
17023.781,1200
17027.176,1300
17031.339,1400
17035.060,1500
17039.168,1600
17043.062,1700
17047.011,1800
17050.881,1900
17055.165,2000
17059.074,2100
17062.790,2200
17066.751,2300
17070.420,2400
17074.589,2500
17078.226,2600
17082.341,2700
17086.152,2800
17090.351,2900
17094.417,3000
17098.822,3100
17102.375,3200
17106.481,3300
17109.969,3400
17113.763,3500
17117.680,3600
17121.762,3700
17125.764,3800
17129.799,3900
17133.723,4000
17137.981,4100
17141.902,4200
17145.790,4300
17149.790,4400
17153.659,4500
17157.644,4600
17161.302,4700
17165.489,4800
17169.173,4900
17173.504,5000
17177.195,5100
17181.170,5200
17184.974,5300
17188.824,5400
17192.673,5500
17196.865,5600
17200.589,5700
17204.531,5800
17208.478,5900
17212.403,6000
17216.605,6100
17220.461,6200
17224.534,6300
17228.254,6400
17232.267,6500
17236.206,6600
17240.378,6700
17244.316,6800
17248.273,6900
17251.985,7000
17256.046,7100
17260.040,7200
17263.747,7300
17267.612,7400
17271.558,7500
17275.250,7600
17279.249,7700
17283.252,7800
17287.004,7900
17291.176,8000
17294.781,8100
17299.310,8200
17302.532,8300
17306.858,8400
17310.546,8500
17314.785,8600
17318.385,8700
17322.484,8800
17326.126,8900
17329.918,9000
17333.799,9100
17337.904,9200
17341.919,9300
17345.592,9400
17349.603,9500
17353.466,9600
17357.456,9700
17361.290,9800
17365.460,9900
17577.598,10000
17584.804,10100
17591.073,10200
17596.642,10300
17601.307,10400
17606.359,10500
17610.843,10600
17615.269,10700
17619.316,10800
17623.299,10900
17627.152,11000
17631.388,11100
17635.197,11200
17639.021,11300
17642.817,11400
17647.189,11500
17651.011,11600
17654.935,11700
17658.810,11800
17662.614,11900
17666.573,12000
17670.246,12100
17674.367,12200
17678.013,12300
17682.279,12400
17685.891,12500
17689.955,12600
17693.709,12700
17697.425,12800
17701.078,12900
17704.961,13000
17708.962,13100
17712.980,13200
17716.713,13300
17720.319,13400
17724.515,13500
17727.976,13600
17731.907,13700
17735.605,13800
17739.701,13900
17743.402,14000
17747.666,14100
17751.371,14200
17755.261,14300
17759.327,14400
17763.541,14500
17767.708,14600
17771.754,14700
17775.335,14800
17779.108,14900
17783.171,15000
17786.796,15100
17790.854,15200
17794.433,15300
17798.407,15400
17801.939,15500
17805.988,15600
17809.493,15700
17813.447,15800
17817.098,15900
17820.860,16000
17824.903,16100
17828.449,16200
17832.798,16300
17836.558,16400
17840.606,16500
17844.221,16600
17848.285,16700
17851.919,16800
17855.987,16900
17859.626,17000
17863.574,17100
17867.363,17200
17871.299,17300
17874.964,17400
17878.592,17500
17882.282,17600
17885.107,17700
17888.500,17800
17892.249,17900
17895.893,18000
17899.811,18100
17903.332,18200
17907.110,18300
17910.754,18400
17914.696,18500
17918.395,18600
17922.371,18700
17926.293,18800
17930.481,18900
17934.201,19000
17938.262,19100
17941.760,19200
17945.576,19300
17949.561,19400
17953.267,19500
17957.066,19600
17960.912,19700
17965.069,19800
17968.801,19900
18078.931,20000
18083.923,20100
18088.903,20200
18093.550,20300
18098.411,20400
18102.365,20500
18106.815,20600
18110.846,20700
18114.982,20800
18118.983,20900
18123.026,21000
18127.000,21100
18131.216,21200
18134.563,21300
18138.434,21400
18142.244,21500
18146.228,21600
18150.235,21700
18153.965,21800
18158.075,21900
18161.974,22000
18166.063,22100
18169.963,22200
18173.970,22300
18177.564,22400
18181.540,22500
18185.583,22600
18189.459,22700
18193.150,22800
18196.966,22900
18200.894,23000
18204.911,23100
18208.724,23200
