timestamp_ms,read_bytes,written_bytes
0,21778432,6852608
5005,26619904,11007131648
10004,26619904,11007131648
15000,26619904,11007131648
20005,177369088,11007131648
25004,311541760,11007131648
30005,714141696,11007131648
35005,1250955264,11007131648
40005,2189623296,11007131648
45005,3128987648,12080959488
50005,4335886336,12080959488
55005,5816066048,12080959488
60005,6891622400,13009367040
65005,8370831360,13009367040
70005,9265483776,14272602112
75003,10844884992,14710439936
80004,12187119616,14710439936
85005,12992684032,15681470464
90005,14334279680,15681470464
95005,15420669952,17061978112
100005,17237565440,17701912576
105005,18642178048,18146902016
110005,19865833472,18987622400
115005,21484818432,18987622400
120004,22769979392,20586242048
125005,24509972480,20805758976
130005,25851408384,21831364608
135005,27461189632,21831364608
140005,28685410304,23409045504
145004,30692827136,23980797952
150005,32493502464,25533939712
155004,34368737280,26027184128
160005,35605442560,27792465920
165004,37300654080,28490055680
170005,39128756224,30039666688
175005,41040490496,30423027712
180005,42343424000,31718723584
185005,44192051200,32501256192
190001,45349834752,34184400896
195005,47738572800,34785878016
200004,49025961984,36269359104
205004,51392069632,36637667328
210004,53226635264,38060204032
215005,55116275712,38615461888
220005,56582053888,40149848064
225000,58885775360,40861540352
230005,61002227712,41347833856
235000,62644744192,42741587968
240005,64886894592,43203891200
245005,66416504832,44939694080
250004,68000874496,45699727360
255005,69271003136,47442518016
260005,71035727872,48142331904
265005,73066446848,49711808512
270005,75276865536,50274594816
275005,77081513984,51182231552
280008,78639378432,52781371392
285010,80558800896,53516070912
290001,81998925824,55194038272
295010,84588965888,55779438592
300010,86132170752,57517989888
305004,88408514560,57743400960
310009,89925447680,59068862464
315010,91988377600,59828035584
320010,93466738688,61448540160
325004,95493066752,62288494592
330005,98080772096,62837821440
335010,100232867840,64318443520
340004,102873710592,64756072448
345010,103868489728,66593292288
350004,106476204032,67206725632
355001,108065009664,68092796928
360009,109935042560,69693865984
365005,112247324672,70326312960
370009,114644008960,71957934080
375005,116692414464,72346251264
380005,118456578048,72860774400
385010,120390160384,74714177536
390007,122080788480,75500908544
395010,123657416704,77311062016
400010,125419708416,78018715648
405010,127880491008,78588891136
410006,130152488960,80216825856
415002,132305195008,80592179200
420009,134188998656,82128015360
425002,136072200192,82714464256
430010,137891729408,83429019648
435001,139620225024,85300097024
440010,141286662144,85968297984
445010,143242702848,87154659328
450006,145013751808,88406384640
455009,147065487360,89075552256
460007,148796477440,91040993280
465010,150990749696,91763200000
470010,153280544768,92469055488
475010,155480305664,94191337472
480009,158224338944,94705971200
485003,161139605504,95211372544
490006,163288395776,96752705536
495007,165810499584,97257422848
500010,168333811712,97702375424
505007,170299400192,99183849472
510010,172478246912,99670302720
515004,174805073920,100303597568
520003,176879390720,101957967872
525010,178880774144,102894563328
530006,180903141376,103627505664
535008,183136165888,105330958336
540010,185391312896,105906003968
545010,187105177600,106569326592
550003,189080764416,108176175104
555006,191582674944,108904964096
