phase,plugin,start_ms,duration_ms
import,indexer,0.304,473.207
import,mappings,473.552,21.516
import,constants,495.120,0.092
import,price,495.244,16.565
import,blocks,511.859,137.759
import,pools,649.780,462.642
import,inputs,649.747,467.815
import,outputs,649.755,472.928
import,mining,649.743,480.218
import,transactions,649.758,893.934
import,op_return,1130.109,421.663
import,investing,1551.969,5.165
import,market,1551.966,137.834
import,distribution,1551.949,1230.293
import,capital_sentiment,2782.392,13.339
import,indicators,2782.346,113.946
import,bedrock,2782.392,150.360
import,coinflow,2782.370,631.994
import,cointime,2782.350,638.223
import,supply,3420.741,20.045
import,rarity_meter,3420.754,460.204
