phase,plugin,start_ms,duration_ms
import,indexer,0.413,352.095
import,mappings,352.547,19.292
import,constants,371.878,0.080
import,price,371.979,12.678
import,blocks,384.697,124.334
import,pools,509.219,562.729
import,inputs,509.183,568.408
import,outputs,509.189,574.380
import,mining,509.178,585.557
import,transactions,509.177,592.750
import,op_return,1096.924,312.126
import,investing,1409.278,7.857
import,market,1409.265,145.776
import,distribution,1409.251,1319.644
import,capital_sentiment,2729.051,15.248
import,indicators,2729.026,94.261
import,bedrock,2729.056,152.017
import,coinflow,2729.058,605.626
import,cointime,2729.029,612.698
import,supply,3341.883,24.567
import,rarity_meter,3341.897,444.441
