timestamp_ms,read_bytes,written_bytes
0,18669568,864256
5005,24702976,13090316288
10005,24907776,15169363968
15005,24907776,15169363968
20000,159313920,15169363968
25004,159313920,15169363968
30005,427700224,15169363968
35004,964509696,15169363968
40005,1635213312,15169363968
45005,2842271744,15169363968
50005,3647160320,16242679808
55005,4854296576,16242679808
60005,5926891520,16982441984
65005,7271067648,17170800640
70005,8480845824,17170800640
75005,9513779200,18585341952
80005,10703839232,18870730752
85000,11911815168,18870730752
90005,12717023232,19841204224
95005,13924122624,19841204224
100005,14877257728,20760612864
105000,16366051328,22112804864
110003,18131632128,22112804864
115005,19073560576,23145213952
120004,20552400896,23145213952
125005,21761392640,24650383360
130005,23367356416,24965464064
135005,24573530112,25990656000
140005,26047905792,25990656000
145005,27267817472,27017920512
150005,29344194560,28624846848
155005,31115948032,29162221568
160005,32247353344,30757531648
165005,34061926400,30757531648
170004,35498848256,32766464000
175004,37583962112,33395466240
180005,38948765696,34583408640
185005,40638337024,34583408640
190005,42137419776,36893069312
195004,44272570368,38602641408
200005,45871484928,39961489408
205005,47957372928,39961489408
210005,49119789056,41139441664
215005,50959056896,41653723136
220005,52664467456,43135266816
225003,54465052672,44123095040
230002,56011071488,45293268992
235005,58021974016,46774415360
240004,60003647488,47553478656
245004,61505073152,49525485568
250005,63679352832,50073931776
255003,65283825664,52009226240
260005,67313635328,52885319680
265003,68613332992,54674124800
270005,70464552960,55586725888
275005,72262565888,57160925184
280003,74264616960,58499039232
285005,75894677504,59353366528
290005,77409071104,60362452992
295005,79244484608,60999376896
300005,80691601408,63100538880
305005,82778988544,63224561664
310005,84392767488,64440446976
315005,86545670144,64440446976
320004,88159526912,67046002688
325004,90093527040,68431941632
330005,91580178432,69756129280
335005,93830651904,69756129280
340010,95832334336,70903922688
345005,97697116160,72290357248
350010,100356694016,72776384512
355009,101528948736,74532593664
360007,103522852864,75340247040
365011,105024774144,77455851520
370009,107847172096,79073632256
375009,110333071360,79914676224
380010,112438009856,81507274752
385010,114002055168,82277978112
390010,115498688512,83604897792
395010,118029123584,85056372736
400008,120185339904,85626195968
405009,121977679872,87531601920
410010,123873939456,88324055040
415002,125974589440,89092534272
420009,128188002304,91789574144
425000,130552598528,93081559040
430010,132390821888,94514442240
435002,134610522112,95310708736
440007,136760061952,95950258176
445010,138803048448,97999912960
450010,140846800896,99111104512
455002,142908809216,100873162752
460009,145437450240,101958082560
465009,147597185024,102721363968
470010,149489541120,105795661824
475010,152807976960,107142668288
480010,155734216704,107947634688
485009,157713424384,109607411712
490006,160247660544,110329638912
495000,162552291328,111088066560
500005,164233236480,113482842112
505004,167530954752,114496491520
510003,169816842240,115900129280
515005,172050382848,116896079872
520004,174346567680,116896079872
525000,176339615744,118804258816
530000,178939305984,120104943616
535005,181011812352,120231157760
540005,182563422208,121591685120
545005,184677949440,121591685120
550002,186686582784,121591685120
555005,188290859008,123300679680
560004,189961482240,123300679680
565005,191659601920,125150306304
570005,193484242944,125740822528
575005,195196645376,126888804352
580002,197639831552,128572506112
585004,199364124672,128781422592
590005,200706105344,130293600256
595005,202869100544,130836262912
600002,204511047680,130836262912
605005,206141431808,133116084224
610005,208123023360,133585719296
615005,209849368576,135099752448
620005,211772289024,136284868608
625005,213683175424,136649519104
630005,215592042496,139108945920
635005,217563336704,140244787200
640000,219466727424,140643659776
645000,221132668928,142837878784
650003,222967709696,143686041600
655005,224960106496,143840088064
660002,226432282624,146116308992
665005,228782379008,146904002560
670005,231715074048,147201363968
675004,233445580800,149024428032
680005,235797995520,149926858752
685005,237738987520,149973274624
690005,239397945344,150314557440
695004,241672650752,152491855872
700005,243977748480,152983212032
705005,245990875136,153363165184
710005,247256997888,154762637312
715005,249311252480,155363581952
720005,251215241216,155363581952
725005,252956127232,156911534080
730004,254971310080,158862929920
735005,257334104064,159698935808
740005,259074240512,161017143296
745005,260835491840,161083305984
750005,263170142208,161083305984
755005,265204183040,162761707520
760005,267995897856,165119975424
765005,270096613376,165624541184
770004,272306671616,165624541184
775005,274276638720,167155179520
780004,276368179200,167282016256
785000,278472241152,167349805056
790002,280968232960,170580746240
795005,283168034816,172143452160
800007,285279141888,172614168576
805009,287210360832,173957476352
810010,289537150976,173957476352
815001,291704578048,174005010432
820006,293977149440,177316933632
825009,296734916608,178466271232
830010,299671289856,178622836736
835008,301462605824,180109475840
840009,304219983872,180152930304
845008,306326355968,180237635584
850010,308438069248,183477137408
855000,311491862528,185138421760
860009,314458451968,185299746816
865007,316580421632,186709663744
870010,319217815552,186709663744
875001,321960058880,186709663744
880007,324067790848,189169278976
885010,327593254912,191224741888
890009,330894303232,191574753280
895010,333460713472,192802574336
900007,336140967936,193115242496
905007,338258333696,193115242496
910007,341087555584,195977908224
915010,344192241664,197876686848
920009,346986799104,198102110208
925007,349059215360,199604572160
930009,351722967040,199604572160
935009,354473324544,199604572160
940006,357225447424,201818710016
945005,360207908864,203955822592
950010,363188150272,204698017792
955000,366174277632,204711370752
960009,368472440832,206102581248
965008,370888228864,206102581248
970010,373622296576,207710203904
975007,376928378880,210012721152
980009,380421451776,211647365120
985010,383329439744,211771420672
990007,386586042368,213345017856
995007,389098139648,213345017856
1000010,391916793856,213345017856
1005010,394316898304,216279826432
1010006,397976346624,218167918592
1015009,401216643072,218687037440
1020006,404204380160,219904696320
1025007,407241297920,220178993152
1030008,409976614912,220178993152
1035009,412079464448,221662167040
1040010,415325556736,223996944384
1045010,418626125824,225600532480
1050009,421837295616,225665249280
1055010,424377593856,227379200000
1060010,427050057728,227379200000
1065009,429797474304,227379200000
1070009,432588066816,229877735424
1075009,435442192384,232032169984
1080010,439200067584,232685047808
1085010,441586778112,233848598528
1090010,444632387584,234182729728
1095005,447546187776,234182729728
1100001,449729683456,236442087424
1105007,453053648896,238634946560
1110005,456572125184,239851290624
1115010,459940360192,240457965568
1120010,462386671616,241996652544
1125009,465667207168,241996652544
1130009,468421222400,241996652544
1135005,471362494464,245018882048
1140010,475023228928,247026515968
1145010,479182372864,247522848768
1150001,482211721216,247569440768
1155001,485261639680,248957075456
1160010,488169820160,248957075456
1165002,491053367296,249026973696
1170010,493533888512,252189597696
1175010,497167835136,253926715392
1180010,500049362944,254948708352
1185009,503189737472,255146532864
1190009,505732325376,256587546624
1195009,508413415424,256587546624
1200009,511325810688,256587546624
1205010,513764564992,258062008320
1210000,516633235456,260117426176
1215004,520108294144,261824548864
1220004,524092162048,262167982080
1225005,527554883584,262167982080
1230010,530748063744,263711817728
1235004,534247677952,263711817728
1240009,537478000640,263711817728
1245004,539920629760,266032287744
1250001,543287943168,267971874816
1255010,547212460032,269629165568
1260010,551486914560,270248640512
1265001,555889524736,270276485120
1270009,558649376768,271887470592
1275004,562456559616,271887470592
1280010,565509693440,271887470592
1285004,568185610240,273565077504
1290010,572134100992,275621625856
1295005,575435194368,276627476480
1300010,579922440192,276627476480
