timestamp_ms,read_bytes,written_bytes
0,22536192,1593344
5005,29253632,15200010240
10010,29253632,15200010240
15010,29253632,15200010240
20010,42663936,15200010240
25009,176836608,15200010240
30010,579436544,15200010240
35010,1116250112,15200010240
40010,2189066240,15200010240
45009,3128320000,16207974400
50010,4469354496,16207974400
55010,5810176000,16276447232
60010,7151177728,17076035584
65006,8626937856,17076035584
70010,9700155392,18550444032
75004,10907025408,18550444032
80001,12067319808,19928592384
85005,13619482624,20381384704
90010,14828408832,20959801344
95010,16408997888,22417514496
100001,18264068096,22629085184
105009,19426394112,24675352576
110009,21387415552,25185632256
115004,22866198528,26824351744
120005,24340844544,27436838912
125003,25491693568,28862709760
130005,27292708864,30034866176
135004,28688896000,31005331456
139158,30437302272,31522775040
