phase,plugin,start_ms,duration_ms
import,indexer,0.415,451.905
import,mappings,452.344,17.407
import,constants,469.782,0.063
import,price,469.861,12.667
import,blocks,482.606,135.344
import,pools,618.177,557.850
import,inputs,618.195,562.344
import,outputs,618.175,568.492
import,mining,618.168,580.107
import,transactions,618.154,585.352
import,op_return,1199.229,305.337
import,investing,1504.784,6.833
import,market,1504.781,122.555
import,distribution,1504.738,1326.737
import,capital_sentiment,2831.627,13.853
import,indicators,2831.656,118.789
import,bedrock,2831.632,151.916
import,coinflow,2831.611,629.444
import,cointime,2831.596,635.926
import,supply,3467.678,18.842
import,rarity_meter,3467.697,461.050
