phase,plugin,start_ms,duration_ms
import,indexer,0.510,451.948
import,mappings,452.479,21.501
import,constants,474.018,0.070
import,price,474.109,14.655
import,blocks,488.799,143.956
import,pools,632.877,540.828
import,inputs,632.885,546.915
import,outputs,632.858,554.106
import,mining,632.862,570.074
import,transactions,632.866,577.839
import,op_return,1203.114,312.656
import,investing,1515.965,7.586
import,market,1515.945,121.674
import,distribution,1515.926,1300.959
import,capital_sentiment,2817.024,66.818
import,indicators,2817.025,95.694
import,bedrock,2817.021,141.992
import,coinflow,2817.024,584.541
import,cointime,2817.019,614.545
import,supply,3431.735,17.089
import,rarity_meter,3431.753,440.153
compute,indexer,13877.698,6839936.045
import,indexer,6855976.175,463.261
import,mappings,6856439.478,12.123
import,constants,6856451.622,0.044
import,price,6856451.680,26.034
import,blocks,6856477.742,19.279
import,mining,6856497.122,16.364
import,pools,6856497.124,23.384
import,inputs,6856497.099,28.566
import,outputs,6856497.113,33.821
import,transactions,6856497.108,39.383
import,op_return,6856513.622,37.052
import,investing,6856550.794,1.341
import,market,6856550.791,14.841
import,distribution,6856550.793,256.075
import,capital_sentiment,6856806.983,5.562
import,indicators,6856806.977,11.004
import,bedrock,6856807.001,27.754
import,coinflow,6856806.986,35.780
import,cointime,6856806.983,42.230
import,supply,6856849.317,8.222
import,rarity_meter,6856849.340,57.281
compute,indexer,6856907.473,967.754
compute,mappings,6857884.365,9.506
compute,blocks,6857893.922,458.586
compute,price,6858352.599,93572.636
compute,inputs,6858352.589,102258.263
compute,market,6960611.008,22358.430
compute,outputs,6960611.012,672670.658
compute,transactions,6960611.053,804592.649
compute,op_return,7765204.041,11070.384
compute,mining,7765204.151,38683.389
compute,investing,7803888.917,0.049
compute,pools,7803889.069,13205.423
compute,distribution,7803889.038,1945082.200
compute,supply,9748971.444,37.094
compute,capital_sentiment,9748971.429,88.644
compute,indicators,9748971.440,234.167
compute,coinflow,9748971.441,3236.275
compute,cointime,9749008.600,5689.638
compute,bedrock,9754698.673,120948.938
compute,rarity_meter,9875648.086,2980.730
import,indexer,9879401.846,445.289
import,mappings,9879847.174,11.460
import,constants,9879858.657,0.023
import,price,9879858.695,22.026
import,blocks,9879880.748,20.267
import,outputs,9879901.082,37.085
import,pools,9879901.095,47.753
import,mining,9879901.091,55.871
import,op_return,9879957.103,61.190
import,inputs,9879901.072,129.755
import,transactions,9879901.099,192.477
import,investing,9880093.743,1.495
import,market,9880093.742,25.038
import,distribution,9880093.735,453.530
import,capital_sentiment,9880547.397,5.280
import,indicators,9880547.382,31.421
import,bedrock,9880547.414,57.832
import,coinflow,9880547.385,72.201
import,cointime,9880547.386,82.168
import,supply,9880629.669,10.084
import,rarity_meter,9880629.686,55.548
compute,indexer,9880690.897,1028.173
compute,mappings,9881727.151,3.601
compute,blocks,9881730.786,4.222
compute,price,9881735.034,4.629
compute,inputs,9881735.048,110.171
compute,market,9881845.292,25.500
compute,transactions,9881845.288,39.266
compute,mining,9881884.589,23.723
compute,op_return,9881884.592,24.783
compute,outputs,9881845.284,572.551
compute,investing,9882417.877,0.001
compute,pools,9882417.911,10.386
compute,distribution,9882417.913,684.254
compute,indicators,9883102.240,0.720
compute,supply,9883102.263,3.172
compute,capital_sentiment,9883102.247,12.256
compute,coinflow,9883102.334,26.853
compute,cointime,9883105.454,33.465
compute,bedrock,9883138.952,164.421
compute,rarity_meter,9883303.417,284.634
