phase,plugin,start_ms,duration_ms
import,indexer,0.427,401.068
import,mappings,401.537,17.050
import,constants,418.637,0.083
import,price,418.747,14.559
import,blocks,433.350,143.102
import,inputs,576.593,479.123
import,pools,576.624,568.005
import,outputs,576.588,573.462
import,mining,576.579,582.359
import,transactions,576.582,593.555
import,op_return,1164.020,305.314
import,investing,1469.562,7.567
import,market,1469.531,140.269
import,distribution,1469.486,1330.811
import,capital_sentiment,2800.441,96.076
import,indicators,2800.467,118.873
import,bedrock,2800.466,154.493
import,coinflow,2800.444,634.864
import,cointime,2800.416,641.840
import,supply,3442.418,19.892
import,rarity_meter,3442.430,464.869
