timestamp_ms,disk_usage
0,212729856
5935,226390016
11785,226390016
17623,233340928
23436,244645888
29252,263335936
35085,279199744
40908,326619136
46736,453976064
52583,592732160
58461,794738688
64288,926359552
70110,1064435712
75975,1492729856
81841,1734213632
87704,1873326080
93558,2329800704
99433,2494971904
105277,2903871488
111176,3055280128
117045,3469766656
122939,3623899136
128786,4165611520
134640,4154527744
140489,4719951872
146379,4783325184
152279,5235355648
158174,5423595520
164094,6149435392
170012,6386941952
175906,6757777408
181807,7183736832
187713,7418765312
193622,7719243776
199505,7996420096
205408,8443035648
211396,8813314048
217259,8968937472
223199,9253314560
229070,9254440960
234954,9547423744
240842,10099118080
246773,10523590656
252710,10683600896
258613,11493933056
264474,11738234880
270446,11836588032
276340,12458700800
282259,13063614464
288266,12690341888
294144,13210148864
300060,13918863360
306031,13734227968
311940,14402580480
317897,14593851392
323810,14947233792
329673,15366356992
335603,16076996608
341517,16264179712
347451,16710475776
353403,16937299968
359354,17504727040
365242,17589891072
371185,18168295424
377119,18508406784
383080,18877616128
389013,19522617344
394976,19963670528
400888,20626874368
406868,20435443712
412767,20697776128
418768,21168324608
424700,22041673728
430621,22033530880
436571,22550409216
442469,23250628608
448439,24380207104
454368,24325079040
460302,24241373184
466192,24551415808
472109,25424650240
478001,25460707328
483927,25781698560
489872,26954338304
495758,26626535424
501684,27402960896
507636,27883880448
513544,27514593280
519414,28953133056
525336,28453670912
531299,28765220864
537184,29494484992
543077,29944512512
549025,29839376384
554913,31021375488
560818,30870695936
566743,31120642048
572644,31804420096
578567,32521551872
584467,31851200512
590337,32674242560
596215,32968372224
602203,33620594688
608177,33593237504
614058,34796376064
619951,34555396096
625858,35886149632
631751,34952237056
637596,36516073472
643448,36534599680
649357,37144199168
655240,36148756480
661106,36752121856
666982,37826449408
672879,37168852992
678760,37557379072
684620,39235284992
690462,39331713024
696338,38640078848
702253,38922248192
708141,40033677312
714080,40504532992
719971,40660578304
725902,40314216448
731812,41060515840
737732,41126866944
743607,41537130496
749490,41874853888
755383,42635837440
761314,42653270016
767190,43027193856
773075,43411775488
778985,44036292608
784850,44417773568
790750,44254887936
796666,45196181504
802604,45416103936
808532,45568045056
814441,45804814336
820332,47140847616
826298,46434578432
832218,47082745856
838141,47691747328
844081,47928582144
849996,48556843008
855932,48325898240
861795,49415245824
867744,49339985920
873617,49375428608
879519,49624678400
885394,50812907520
891324,50872135680
897205,51134697472
903084,51333947392
908969,52814229504
914864,52633632768
920747,52758659072
926664,52717060096
932544,53434097664
938425,54613200896
944336,54474113024
950224,54675136512
956102,55053266944
961947,54967070720
967853,55473115136
973764,55795814400
979651,55990398976
985507,56248229888
991377,56283717632
997261,56643559424
1003165,57503608832
1009070,57141256192
1014999,57434218496
1020955,57883131904
1026835,58094587904
1032782,58218692608
1038646,59074125824
1044547,59050594304
1050486,59144732672
1056419,59386327040
1062306,60441755648
1068229,60267896832
1074123,60955897856
1079988,61415772160
1085903,61164199936
1091820,61474021376
1097693,61849686016
1103602,62523351040
1109438,62132494336
1115302,62684360704
1121187,62962679808
1127062,62975963136
1132948,63255977984
1138866,64051949568
1144803,65341763584
1150699,64421347328
1156587,65127063552
1162480,65289146368
1168435,65140396032
1174329,65641795584
1180229,66411749376
1186163,66813571072
1192065,66525396992
1197904,66732048384
1203780,67038744576
1209670,68026220544
1215562,68536897536
1221483,68250832896
1227370,68785491968
1233244,68660297728
1239096,69053628416
1244938,69738672128
1250803,69743976448
1256670,70039445504
1262567,71072378880
1268478,70648553472
1274353,70543187968
1280239,71015837696
1286115,71212613632
1292038,72510398464
1297844,71812681728
1303717,72335728640
1309587,72950571008
1315494,72958091264
1321369,73191235584
1327220,73901359104
1333102,73842843648
1338978,74137436160
1344852,74548862976
1350746,75120795648
1356620,75643584512
1362499,75017080832
1368360,75416788992
1374230,75702800384
1380062,76885315584
1385940,76622622720
1391793,77183520768
1397708,77072052224
1403541,77209546752
1409417,77743411200
1415260,78227828736
1421170,78199533568
1427000,78243565568
1432900,78212792320
1438808,78754406400
1444665,79268413440
1450530,79876079616
1456464,80101228544
1462360,81046593536
1468230,79840452608
1474122,79951581184
1480030,80399044608
1485941,81458241536
1491835,80893292544
1497691,81189851136
1503573,81894223872
1509460,82051940352
1515328,82121646080
1521180,82677981184
1527080,82423238656
1532923,82869489664
1538813,83003629568
1544658,84049793024
1550580,83376603136
1556429,83527118848
1562297,83675766784
1568109,84284850176
1573908,84514480128
1579753,84892475392
1585583,84879187968
1591432,85060472832
1597304,85222617088
1603141,85491453952
1608949,85768982528
1614854,87012278272
1620738,86422372352
1626642,86666858496
1632469,86487216128
1638344,87322476544
1644165,87235702784
1650085,87233060864
1655912,87653613568
1661772,87653613568
1667562,88115126272
1673417,88564961280
1679712,88886628352
1685590,89428410368
1691474,88809328640
1697324,89186103296
1703212,89793216512
1709095,90142781440
1715008,90810306560
1720862,90317033472
1726712,90856468480
1732545,90667892736
1738444,91152969728
1744253,91852025856
1750179,91423911936
1756054,92106366976
1761948,92127449088
1767851,92011618304
1773729,92494589952
1779596,93097074688
1785453,93721665536
1791284,94184341504
1797201,93258301440
1803085,93906636800
1808935,94069510144
1814785,94231085056
1820636,95129231360
1826492,94531837952
1832328,95757299712
1838240,94849810432
1844056,95491743744
1849951,95677288448
1855788,95794331648
1861625,96829726720
1867491,95996694528
1873307,96464375808
1879153,96491479040
1885054,96811393024
1890939,97237544960
1896831,97373069312
1902715,97848569856
1908504,97756467200
1914371,98266451968
1920212,97944059904
1926063,98560217088
1931939,98353254400
1937764,99127468032
1943594,99208089600
1949416,99418411008
1955299,99845136384
1961781,99800412160
1967682,99629285376
1973631,100122226688
1979466,100542189568
1985357,100412162048
1991122,101124730880
1997013,100954099712
2002858,101311647744
2008757,101175902208
2014599,101620166656
2020475,101517680640
2026320,102101958656
2032251,102730051584
2038130,103352377344
2043958,103024123904
2049766,103138189312
2055590,103015309312
2061430,103783362560
2067224,103469600768
2073087,104298094592
2078980,103905927168
2084838,104742543360
2090652,104354263040
2096498,104899252224
2102321,104839905280
2108222,105537744896
2114080,105239121920
2119926,106081890304
2125790,106376835072
2131679,106562535424
2137487,106516684800
2143358,106754519040
2149192,107024715776
2155055,107000844288
2160908,107506450432
2166720,107598462976
2172528,108216709120
2178381,108752580608
2184185,108985692160
2190024,108361486336
2195870,108325797888
2201731,109016502272
2207554,109135294464
2213445,109384634368
2219287,109281124352
2225103,110018940928
2230981,110468222976
2236820,110060564480
2242618,110576517120
2248496,110107258880
2254362,110435540992
2260206,110679646208
2266072,110524456960
2271995,111161892864
2277830,111583698944
2283661,111912062976
2289503,111983738880
2295346,112343638016
2301238,112567193600
2307080,112081072128
2312912,112883974144
2318787,112470609920
2324650,113116426240
2330447,112947036160
2336311,112947036160
2342167,113915338752
2348015,113707724800
2353863,113348149248
2359659,113992396800
2365476,114243805184
2371388,114617634816
2377210,114563506176
2383053,114595676160
2388868,114931769344
2394712,114842992640
2400515,115711582208
2406305,115808796672
2412160,115458310144
2418084,115837956096
2423880,115837956096
2429652,116505104384
2435459,116616445952
2441294,116268511232
2447192,116923371520
2453035,117148168192
2458868,118803791872
2464727,117490786304
2470532,117344899072
2476339,117790769152
2482106,117670903808
2487949,117940592640
2493779,118244179968
