timestamp_ms,phys_footprint,phys_footprint_peak
0,12582912,15728640
5844,628097024,630194176
11679,628097024,630194176
17547,977272832,978321408
23431,1214251008,1214251008
29306,1910505472,1919942656
35201,2213543936,2357198848
41049,3315597312,3959422976
46944,4377804800,4519362560
52827,5508169728,6118440960
58721,6508511232,6508511232
64618,8998879232,9347006464
70504,9804185600,9804185600
76345,5061476352,10737418240
82277,4030726144,10737418240
88185,5054136320,10737418240
94089,6587154432,10737418240
99994,7303331840,10737418240
105920,8084520960,10737418240
111816,9435086848,10737418240
117770,10737418240,11811160064
123697,11811160064,11811160064
129603,12884901888,12884901888
135518,17179869184,17179869184
141389,7936671744,18253611008
147295,4546625536,18253611008
153190,6495928320,18253611008
159133,8040480768,18253611008
165066,9144631296,18253611008
171019,11811160064,18253611008
176949,12884901888,18253611008
182900,12884901888,18253611008
188849,12884901888,18253611008
194772,15032385536,18253611008
200664,17179869184,18253611008
206575,18253611008,18253611008
212364,11811160064,21474836480
218360,7287603200,21474836480
224272,8384413696,21474836480
230196,10388242432,21474836480
236130,10737418240,21474836480
242094,11811160064,21474836480
248081,15032385536,21474836480
254058,15032385536,21474836480
260005,16106127360,21474836480
265956,18253611008,21474836480
271912,19327352832,21474836480
277882,20401094656,21474836480
283699,13958643712,24696061952
289658,9148825600,24696061952
295863,10156507136,24696061952
301831,11811160064,24696061952
307773,12884901888,24696061952
313730,15032385536,24696061952
319696,15032385536,24696061952
325671,17179869184,24696061952
331656,18253611008,24696061952
337688,19327352832,24696061952
343671,21474836480,24696061952
349666,21474836480,24696061952
355503,18253611008,24696061952
361497,12884901888,24696061952
367368,12884901888,24696061952
373354,13958643712,24696061952
379373,15032385536,24696061952
385329,16106127360,24696061952
391320,17179869184,24696061952
397321,18253611008,24696061952
403249,19327352832,24696061952
409212,20401094656,24696061952
415175,21474836480,24696061952
421105,22548578304,24696061952
426958,15032385536,24696061952
432932,11811160064,24696061952
438912,12884901888,24696061952
444919,15032385536,24696061952
450897,15032385536,24696061952
456862,17179869184,24696061952
462820,17179869184,24696061952
468803,18253611008,24696061952
474786,19327352832,24696061952
480753,20401094656,24696061952
486709,21474836480,24696061952
492607,24696061952,24696061952
498642,15032385536,24696061952
504603,11811160064,24696061952
510591,11811160064,24696061952
516561,15032385536,24696061952
522548,13958643712,24696061952
528529,15032385536,24696061952
534503,16106127360,24696061952
540461,16106127360,24696061952
546397,18253611008,24696061952
552364,20401094656,24696061952
558265,20401094656,24696061952
564113,19327352832,24696061952
570164,12884901888,24696061952
576084,12884901888,24696061952
581965,13958643712,24696061952
587919,15032385536,24696061952
593877,13958643712,24696061952
599811,16106127360,24696061952
605771,16106127360,24696061952
611795,16106127360,24696061952
617707,17179869184,24696061952
623621,18253611008,24696061952
629567,19327352832,24696061952
635420,15032385536,24696061952
641447,10737418240,24696061952
647410,11811160064,24696061952
653394,12884901888,24696061952
659363,12884901888,24696061952
665348,15032385536,24696061952
671327,15032385536,24696061952
677285,16106127360,24696061952
683278,19327352832,24696061952
689214,18253611008,24696061952
695176,19327352832,24696061952
701090,19327352832,24696061952
706910,13958643712,24696061952
712907,10737418240,24696061952
718855,11811160064,24696061952
724829,11811160064,24696061952
730793,12884901888,24696061952
736766,13958643712,24696061952
742746,15032385536,24696061952
748675,16106127360,24696061952
754613,17179869184,24696061952
760533,18253611008,24696061952
766559,17179869184,24696061952
772436,18253611008,24696061952
778488,10410262528,24696061952
784426,10180624384,24696061952
790347,12884901888,24696061952
796319,11811160064,24696061952
802269,12884901888,24696061952
808231,12884901888,24696061952
814174,15032385536,24696061952
820139,15032385536,24696061952
826061,15032385536,24696061952
831955,16106127360,24696061952
837880,16106127360,24696061952
843778,12884901888,24696061952
849767,10067378176,24696061952
855644,11811160064,24696061952
861582,10737418240,24696061952
867546,11811160064,24696061952
873450,11811160064,24696061952
879391,13958643712,24696061952
885350,13958643712,24696061952
891278,15032385536,24696061952
897210,15032385536,24696061952
903193,16106127360,24696061952
909097,15032385536,24696061952
915110,10000269312,24696061952
921085,10737418240,24696061952
927019,10737418240,24696061952
932940,11811160064,24696061952
938906,12884901888,24696061952
944862,12884901888,24696061952
950830,13958643712,24696061952
956765,13958643712,24696061952
962718,15032385536,24696061952
968661,16106127360,24696061952
974639,16106127360,24696061952
980514,11811160064,24696061952
986512,10022289408,24696061952
992470,10737418240,24696061952
998420,11811160064,24696061952
1004392,11811160064,24696061952
1010337,12884901888,24696061952
1016286,13958643712,24696061952
1022256,15032385536,24696061952
1028178,16106127360,24696061952
1034112,16106127360,24696061952
1040069,19327352832,24696061952
1046017,18253611008,24696061952
1051979,9916383232,24696061952
1057916,10737418240,24696061952
1063845,10737418240,24696061952
1069831,12884901888,24696061952
1075747,11811160064,24696061952
1081705,13958643712,24696061952
1087622,13958643712,24696061952
1093576,13958643712,24696061952
