timestamp_ms,value
15709,0
15714,100
15719,200
15723,300
15727,400
15731,500
15735,600
15739,700
15742,800
15747,900
15750,1000
15754,1100
15758,1200
15762,1300
15766,1400
15770,1500
15774,1600
15777,1700
15781,1800
15785,1900
15789,2000
15793,2100
15797,2200
15801,2300
15805,2400
15808,2500
15813,2600
15816,2700
15820,2800
15824,2900
15829,3000
15832,3100
15836,3200
15840,3300
15844,3400
15848,3500
15852,3600
15856,3700
15860,3800
15864,3900
15868,4000
15872,4100
15876,4200
15880,4300
15884,4400
15888,4500
15891,4600
15895,4700
15899,4800
15903,4900
15907,5000
15911,5100
15915,5200
15919,5300
15923,5400
15927,5500
15931,5600
15935,5700
15939,5800
15942,5900
15947,6000
15950,6100
15954,6200
15958,6300
15962,6400
15966,6500
15970,6600
15974,6700
15977,6800
15981,6900
15985,7000
15989,7100
15993,7200
15997,7300
16001,7400
16006,7500
16009,7600
16013,7700
16017,7800
16021,7900
16025,8000
16028,8100
16032,8200
16036,8300
16040,8400
16044,8500
16048,8600
16052,8700
16056,8800
16060,8900
16064,9000
16068,9100
16072,9200
16075,9300
16080,9400
16083,9500
16087,9600
16091,9700
16095,9800
16099,9900
16103,10000
16106,10100
16110,10200
16114,10300
16118,10400
16122,10500
16126,10600
16130,10700
16134,10800
16138,10900
16141,11000
16145,11100
16149,11200
16153,11300
16157,11400
16161,11500
16165,11600
16169,11700
16173,11800
16177,11900
16181,12000
16185,12100
16189,12200
16193,12300
16197,12400
16201,12500
16205,12600
16209,12700
16213,12800
16217,12900
16221,13000
16225,13100
16229,13200
16233,13300
16237,13400
16241,13500
16244,13600
16248,13700
16252,13800
16256,13900
16259,14000
16263,14100
16267,14200
16271,14300
16275,14400
16280,14500
16283,14600
16287,14700
16291,14800
16295,14900
16299,15000
16303,15100
16307,15200
16311,15300
16315,15400
16319,15500
16323,15600
16326,15700
16330,15800
16334,15900
16338,16000
16342,16100
16346,16200
16350,16300
16354,16400
16358,16500
16362,16600
16366,16700
16370,16800
16373,16900
16378,17000
16382,17100
16385,17200
16389,17300
16393,17400
16397,17500
16401,17600
16405,17700
16408,17800
16413,17900
16417,18000
16421,18100
16424,18200
16429,18300
16432,18400
16437,18500
16440,18600
16444,18700
16448,18800
16452,18900
16456,19000
16460,19100
16464,19200
16467,19300
16471,19400
16475,19500
16479,19600
16483,19700
16487,19800
16491,19900
16495,20000
16499,20100
16503,20200
16507,20300
16511,20400
16515,20500
16519,20600
16523,20700
16527,20800
16531,20900
16535,21000
16538,21100
16542,21200
16546,21300
16550,21400
16553,21500
16557,21600
16562,21700
16566,21800
16570,21900
16574,22000
16578,22100
16582,22200
16586,22300
16590,22400
16594,22500
16598,22600
16601,22700
16605,22800
16609,22900
16614,23000
16618,23100
16622,23200
16626,23300
16630,23400
16634,23500
16638,23600
16641,23700
16646,23800
16649,23900
16654,24000
16658,24100
16661,24200
16665,24300
16669,24400
16673,24500
16676,24600
16680,24700
16684,24800
16688,24900
16692,25000
16696,25100
16700,25200
16704,25300
16708,25400
16712,25500
16715,25600
16719,25700
16723,25800
16727,25900
