timestamp_ms,value
15360,0
15364,100
15370,200
15374,300
15379,400
15382,500
15387,600
15390,700
15394,800
15398,900
15402,1000
15406,1100
15410,1200
15414,1300
15418,1400
15422,1500
15426,1600
15430,1700
15434,1800
15438,1900
15442,2000
15446,2100
15449,2200
15454,2300
15457,2400
15461,2500
15465,2600
15469,2700
15473,2800
15477,2900
15481,3000
15485,3100
15489,3200
15493,3300
15497,3400
15501,3500
15504,3600
15509,3700
15513,3800
15517,3900
15521,4000
15525,4100
15529,4200
15533,4300
15537,4400
15540,4500
15545,4600
15548,4700
15552,4800
15556,4900
15560,5000
15564,5100
15568,5200
15571,5300
15575,5400
15579,5500
15584,5600
15587,5700
15591,5800
15595,5900
15599,6000
15603,6100
15607,6200
15611,6300
15615,6400
15619,6500
15623,6600
15627,6700
15631,6800
15635,6900
15639,7000
15643,7100
15647,7200
15651,7300
15654,7400
15658,7500
15662,7600
15666,7700
15670,7800
15674,7900
15678,8000
15682,8100
15687,8200
15690,8300
15694,8400
15698,8500
15702,8600
15706,8700
15710,8800
15714,8900
15717,9000
15721,9100
15726,9200
15729,9300
15733,9400
15737,9500
15741,9600
15745,9700
15749,9800
15753,9900
15947,10000
15953,10100
15959,10200
15964,10300
15969,10400
15973,10500
15978,10600
15982,10700
15987,10800
15991,10900
15995,11000
15999,11100
16003,11200
16007,11300
16011,11400
16015,11500
16019,11600
16023,11700
16027,11800
16031,11900
16034,12000
16038,12100
16042,12200
16046,12300
16050,12400
16054,12500
16057,12600
16062,12700
16065,12800
16070,12900
16073,13000
16078,13100
16081,13200
16085,13300
16089,13400
16093,13500
16097,13600
16101,13700
16105,13800
16109,13900
16113,14000
16117,14100
16121,14200
16125,14300
16129,14400
16133,14500
16137,14600
16141,14700
16145,14800
16149,14900
16153,15000
16156,15100
16161,15200
16164,15300
16168,15400
16172,15500
16176,15600
16180,15700
16184,15800
16188,15900
16192,16000
16196,16100
16200,16200
16204,16300
16208,16400
16212,16500
16216,16600
16219,16700
16223,16800
16227,16900
16231,17000
16235,17100
16239,17200
16243,17300
16247,17400
16251,17500
16255,17600
16259,17700
16262,17800
16266,17900
16270,18000
16274,18100
16278,18200
16282,18300
16286,18400
16289,18500
16293,18600
16297,18700
16301,18800
16305,18900
16309,19000
16313,19100
16317,19200
16321,19300
16324,19400
16328,19500
16332,19600
16336,19700
16340,19800
16344,19900
16458,20000
16464,20100
16469,20200
16473,20300
16478,20400
16482,20500
16486,20600
16490,20700
16495,20800
16499,20900
16503,21000
16506,21100
16510,21200
16514,21300
16518,21400
16522,21500
16526,21600
16530,21700
16534,21800
16538,21900
16542,22000
16546,22100
16550,22200
16554,22300
16558,22400
16562,22500
16566,22600
16570,22700
16573,22800
16577,22900
16581,23000
16585,23100
16589,23200
16593,23300
16597,23400
16601,23500
16605,23600
16609,23700
16613,23800
16617,23900
16621,24000
16625,24100
16629,24200
16633,24300
16637,24400
16641,24500
16645,24600
16649,24700
16653,24800
16657,24900
16661,25000
16665,25100
16669,25200
16673,25300
16677,25400
16681,25500
16685,25600
16689,25700
16693,25800
16697,25900
16701,26000
16705,26100
16709,26200
16713,26300
16717,26400
16721,26500
16725,26600
16729,26700
16733,26800
16737,26900
16741,27000
16745,27100
16749,27200
16753,27300
16757,27400
16761,27500
16765,27600
16769,27700
